Combination,Train Folds,Validation Fold,Test Fold,Best Threshold,Validation Best F1,Test Precision,Test Recall,Test F1,Test MCC
1,1_2_3,4,5,5.786016821519994,0.7164179104477612,0.6621621621621622,0.8352272727272727,0.7386934673366834,0.7079601999440019
2,2_3_4,5,1,6.241521991281938,0.7566137566137566,0.6288659793814433,0.7052023121387283,0.6648501362397821,0.6222475544888872
3,3_4_5,1,2,6.505786587677158,0.6971428571428572,0.7058823529411765,0.7630057803468208,0.7333333333333333,0.699755784593334
4,4_5_1,2,3,6.2318611929489105,0.7356948228882834,0.6485148514851485,0.7572254335260116,0.6986666666666667,0.6608837739358792
5,5_1_2,3,4,6.01633169479576,0.6961038961038961,0.6586538461538461,0.791907514450867,0.7191601049868767,0.6847366130834425
