fold,best_C,best_gamma,validation_mcc,test_mcc,test_precision,test_recall
1,8.714285714285715,0.065,0.8525145258135866,0.8325310514207876,0.8080808080808081,0.898876404494382
2,4.857142857142858,0.03,0.8487830232256487,0.8316921332257875,0.777292576419214,0.9368421052631579
3,1.0,0.13,0.8656875716808468,0.8238274268661098,0.7845303867403315,0.9044585987261147
4,4.857142857142858,0.065,0.8253203869706556,0.8273774893741226,0.7978723404255319,0.8982035928143712
5,2.2857142857142856,0.065,0.8239377162277672,0.8499878923213522,0.8078817733990148,0.9318181818181818
